"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p.x" "gene_name" "description" "chromosome_name" "start_position" "end_position" "strand" "genes" "logFC" "logCPM" "LR" "p.y" "FDR" "CFDR"
"ENSGACG00000000628" "scaffold_88-16" "scaffold_88" 252325 252541 12.12 8.32e-10 "TCF4" "transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]" "scaffold_88" 157065 200950 -1 "ENSGACG00000000628" -0.163819491313982 4.46637946412104 1.85972577996576 0.172656452520303 0.99957234361132 0.637489282338912
"ENSGACG00000000632" "scaffold_27-232" "scaffold_27" 1486732 1486936 2.64 4.41e-06 "" "" "scaffold_27" 1484438 1487128 -1 "ENSGACG00000000632" -0.0444235302889239 2.6842015031304 0.0720436389513086 0.788384157516054 0.99957234361132 0.999832494075397
"ENSGACG00000000653" "scaffold_27-88" "scaffold_27" 1605499 1605715 2.17 4e-05 "itpr1a" "inositol 1,4,5-triphosphate receptor, type 1a [Source:ZFIN;Acc:ZDB-GENE-070604-3]" "scaffold_27" 1551688 1602804 1 "ENSGACG00000000653" 0.169792236298145 5.08770634158174 1.44352487652936 0.229569789466506 0.99957234361132 0.749996172793059
"ENSGACG00000000659" "scaffold_27-88" "scaffold_27" 1605499 1605715 2.17 4e-05 "BHLHE40 (1 of 2)" "basic helix-loop-helix family, member e40 [Source:HGNC Symbol;Acc:HGNC:1046]" "scaffold_27" 1606187 1608713 1 "ENSGACG00000000659" 0.0614882813258549 5.24460687213271 0.250798340344655 0.616513501663828 0.99957234361132 0.999832494075397
"ENSGACG00000000695" "scaffold_90-32" "scaffold_90" 437594 437798 2.66 3.77e-05 "irf5" "interferon regulatory factor 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2587]" "scaffold_90" 436993 442598 1 "ENSGACG00000000695" 0.315663406273376 4.27122577277876 4.16885817636347 0.0411735386508551 0.99957234361132 0.208844265228689
"ENSGACG00000000713" "scaffold_27-572" "scaffold_27" 1951627 1951843 5.19 4.65e-05 "B4GALNT1 (1 of 2)" "beta-1,4-N-acetyl-galactosaminyl transferase 1 [Source:HGNC Symbol;Acc:HGNC:4117]" "scaffold_27" 1946114 1954478 1 "ENSGACG00000000713" -0.0149289847693259 5.99019478003924 0.0383908827331254 0.844660326071917 0.99957234361132 0.999832494075397
"ENSGACG00000000729" "scaffold_27-91" "scaffold_27" 2002865 2003069 2.43 3.67e-07 "rhebl1" "Ras homolog enriched in brain like 1 [Source:ZFIN;Acc:ZDB-GENE-000510-1]" "scaffold_27" 1999429 2003258 -1 "ENSGACG00000000729" 0.0055759718645033 4.90215661651748 0.0026699660798073 0.958790275676671 0.99957234361132 0.999832494075397
"ENSGACG00000000731" "scaffold_47-63" "scaffold_47" 215639 215843 4.43 7.81e-09 "zgc:92664" "zgc:92664 [Source:ZFIN;Acc:ZDB-GENE-040718-119]" "scaffold_47" 211154 214347 -1 "ENSGACG00000000731" -0.0460608358992774 3.50218978388552 0.175082950248731 0.675633380497761 0.99957234361132 0.999832494075397
"ENSGACG00000000733" "scaffold_47-63" "scaffold_47" 215639 215843 4.43 7.81e-09 "rnaseka" "ribonuclease, RNase K a [Source:ZFIN;Acc:ZDB-GENE-060825-301]" "scaffold_47" 215663 218032 1 "ENSGACG00000000733" 0.123750740541689 1.67268401526495 0.322670832294436 0.570006976229009 0.99957234361132 0.995865132360589
"ENSGACG00000000819" "scaffold_47-56" "scaffold_47" 803160 803364 3 1.48e-06 "map4k2l" "mitogen-activated protein kinase kinase kinase kinase 2-like [Source:ZFIN;Acc:ZDB-GENE-030616-163]" "scaffold_47" 802947 823637 1 "ENSGACG00000000819" 0.127924166887898 4.46342019037265 2.14785587568533 0.142769147404499 0.99957234361132 0.563484451043963
"ENSGACG00000000831" "scaffold_27-290" "scaffold_27" 2309679 2309883 3.31 3.43e-06 "IP6K2 (1 of 2)" "inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]" "scaffold_27" 2286786 2290664 -1 "ENSGACG00000000831" 0.0102322283939646 5.54248235097204 0.0133975323239923 0.907852493384906 0.99957234361132 0.999832494075397
"ENSGACG00000000832" "scaffold_27-290" "scaffold_27" 2309679 2309883 3.31 3.43e-06 "" "" "scaffold_27" 2315736 2317376 -1 "ENSGACG00000000832" 0.0111178743557723 3.99547343047052 0.0118996930913919 0.913134505505688 0.99957234361132 0.999832494075397
"ENSGACG00000000839" "scaffold_27-158" "scaffold_27" 2470994 2471198 2.34 7.18e-05 "GNAI2 (1 of 2)" "guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:4385]" "scaffold_27" 2429959 2471144 -1 "ENSGACG00000000839" 0.0142332927403052 5.7604030119692 0.0256428939459994 0.872775528490966 0.99957234361132 0.999832494075397
"ENSGACG00000000839" "scaffold_27-195" "scaffold_27" 2445878 2446094 2.89 1.14e-05 "GNAI2 (1 of 2)" "guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Source:HGNC Symbol;Acc:HGNC:4385]" "scaffold_27" 2429959 2471144 -1 "ENSGACG00000000839" 0.0142332927403052 5.7604030119692 0.0256428939459994 0.872775528490966 0.99957234361132 0.999832494075397
"ENSGACG00000000845" "scaffold_27-158" "scaffold_27" 2470994 2471198 2.34 7.18e-05 "slc38a3a" "solute carrier family 38, member 3a [Source:ZFIN;Acc:ZDB-GENE-070615-25]" "scaffold_27" 2474900 2501949 -1 "ENSGACG00000000845" -0.132385315271208 6.74677816700623 1.65093620065979 0.198831557071081 0.99957234361132 0.693596125514581
"ENSGACG00000000848" "scaffold_47-76" "scaffold_47" 893110 893314 3.18 3.83e-06 "im:7136729" "im:7136729 [Source:ZFIN;Acc:ZDB-GENE-041111-14]" "scaffold_47" 889259 893482 -1 "ENSGACG00000000848" 0.355189007121123 2.52138128897636 0.825403421120416 0.363605054290733 0.99957234361132 0.907140434911981
"ENSGACG00000000867" "scaffold_47-38" "scaffold_47" 1118678 1118882 2.38 8.63e-06 "lrch4" "leucine-rich repeats and calponin homology (CH) domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-060503-749]" "scaffold_47" 1093109 1125796 -1 "ENSGACG00000000867" 0.108545989869823 3.55988119366323 0.411003781444187 0.521460464777915 0.99957234361132 0.985076440239037
"ENSGACG00000000898" "scaffold_27-300" "scaffold_27" 2609855 2610071 2.67 9.4e-05 "GRM2 (1 of 2)" "glutamate receptor, metabotropic 2 [Source:HGNC Symbol;Acc:HGNC:4594]" "scaffold_27" 2607002 2623004 1 "ENSGACG00000000898" -0.00383680318766038 5.32019163655324 0.000714121468654128 0.978680627449094 0.99957234361132 0.999832494075397
"ENSGACG00000000940" "scaffold_37-6" "scaffold_37" 1430883 1431087 2.42 1.39e-08 "ptbp2a" "polypyrimidine tract binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-050320-141]" "scaffold_37" 1418927 1431402 -1 "ENSGACG00000000940" -0.00678367096486689 4.95496889818504 0.00690469013415296 0.933776426819343 0.99957234361132 0.999832494075397
"ENSGACG00000000966" "scaffold_47-75" "scaffold_47" 1662447 1662663 3.46 1.99e-05 "ablim2" "actin binding LIM protein family, member 2 [Source:ZFIN;Acc:ZDB-GENE-100316-5]" "scaffold_47" 1617088 1657749 -1 "ENSGACG00000000966" -0.0274322297226543 4.35789887878114 0.103966921221713 0.747120128126926 0.99957234361132 0.999832494075397
"ENSGACG00000000969" "scaffold_47-75" "scaffold_47" 1662447 1662663 3.46 1.99e-05 "ZCCHC4" "zinc finger, CCHC domain containing 4 [Source:HGNC Symbol;Acc:HGNC:22917]" "scaffold_47" 1687223 1699812 1 "ENSGACG00000000969" -0.00723527842218376 3.48611450213537 0.00442203158875287 0.946981065111375 0.99957234361132 0.999832494075397
"ENSGACG00000001022" "scaffold_27-144" "scaffold_27" 2949559 2949775 2.4 5.58e-05 "RBM15 (1 of 2)" "RNA binding motif protein 15 [Source:HGNC Symbol;Acc:HGNC:14959]" "scaffold_27" 2943648 2946408 -1 "ENSGACG00000001022" -0.00357574376109956 4.33770244455394 0.00109348034915868 0.97362050909457 0.99957234361132 0.999832494075397
"ENSGACG00000001025" "scaffold_27-144" "scaffold_27" 2949559 2949775 2.4 5.58e-05 "slc6a17" "solute carrier family 6, member 17 [Source:ZFIN;Acc:ZDB-GENE-030131-8187]" "scaffold_27" 2955489 2962667 1 "ENSGACG00000001025" 0.0839154865998318 5.30900905944349 0.318650803850332 0.572419592730705 0.99957234361132 0.996460526634361
"ENSGACG00000001056" "scaffold_27-99" "scaffold_27" 3031089 3031293 2.7 2.33e-08 "usp49" "ubiquitin specific peptidase 49 [Source:ZFIN;Acc:ZDB-GENE-050208-484]" "scaffold_27" 3026047 3029179 -1 "ENSGACG00000001056" 0.00382552162851313 3.64094411278511 0.00151187800971364 0.968983769588918 0.99957234361132 0.999832494075397
"ENSGACG00000001058" "scaffold_27-99" "scaffold_27" 3031089 3031293 2.7 2.33e-08 "med20" "mediator complex subunit 20 [Source:ZFIN;Acc:ZDB-GENE-040801-104]" "scaffold_27" 3032363 3033832 -1 "ENSGACG00000001058" 0.120915330850136 2.41727634458743 0.656762898551319 0.417705093303234 0.99957234361132 0.944517736134469
"ENSGACG00000001123" "scaffold_129-17" "scaffold_129" 50731 50935 4.91 1.61e-07 "" "" "scaffold_129" 47228 50569 -1 "ENSGACG00000001123" 1.41391623042722 4.70543715647259 6.28237960217143 0.0121944248831883 0.927209870673715 0.0677638222937156
"ENSGACG00000001123" "scaffold_129-19" "scaffold_129" 50012 50216 3.27 3.17e-05 "" "" "scaffold_129" 47228 50569 -1 "ENSGACG00000001123" 1.41391623042722 4.70543715647259 6.28237960217143 0.0121944248831883 0.927209870673715 0.0677638222937156
"ENSGACG00000001125" "scaffold_129-17" "scaffold_129" 50731 50935 4.91 1.61e-07 "slc25a11" "solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11 [Source:ZFIN;Acc:ZDB-GENE-040625-79]" "scaffold_129" 52894 57245 -1 "ENSGACG00000001125" 0.00574312694422879 5.46810725797836 0.00444328180655162 0.946854013792841 0.99957234361132 0.999832494075397
"ENSGACG00000001173" "scaffold_129-22" "scaffold_129" 161438 161654 11.54 1e-08 "hmgb2b" "high-mobility group box 2b [Source:ZFIN;Acc:ZDB-GENE-040912-122]" "scaffold_129" 158380 161788 1 "ENSGACG00000001173" -0.0101349343491419 6.9173644331551 0.0149776680166553 0.902595477029004 0.99957234361132 0.999832494075397
"ENSGACG00000001225" "scaffold_181-2" "scaffold_181" 40001 40205 2.77 2.05e-12 "stam2" "signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 [Source:ZFIN;Acc:ZDB-GENE-041114-64]" "scaffold_181" 35815 40204 -1 "ENSGACG00000001225" 0.248960439001274 3.86055596429051 4.08509812668466 0.0432629391680148 0.99957234361132 0.218352550876113
"ENSGACG00000001232" "scaffold_181-2" "scaffold_181" 40001 40205 2.77 2.05e-12 "ptplb" "protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b [Source:ZFIN;Acc:ZDB-GENE-030131-6053]" "scaffold_181" 43227 44047 1 "ENSGACG00000001232" 0.0953118095423657 3.62541009083474 0.677392306416724 0.410486122819663 0.99957234361132 0.940295452794912
"ENSGACG00000001286" "scaffold_27-365" "scaffold_27" 3594794 3594998 3.9 1.84e-06 "RASSF1 (1 of 2)" "Ras association (RalGDS/AF-6) domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]" "scaffold_27" 3593010 3596564 1 "ENSGACG00000001286" -0.0862042070845814 2.40017985930258 0.181947034760274 0.669705301651334 0.99957234361132 0.999832494075397
"ENSGACG00000001294" "scaffold_27-301" "scaffold_27" 3608563 3608767 3.47 9.73e-07 "HYAL2 (1 of 2)" "hyaluronoglucosaminidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]" "scaffold_27" 3603787 3610736 1 "ENSGACG00000001294" 0.0196323915562544 2.99047622265205 0.0149707200208695 0.902617959615983 0.99957234361132 0.999832494075397
"ENSGACG00000001294" "scaffold_27-644" "scaffold_27" 3660198 3660414 5.19 4.65e-05 "HYAL2 (1 of 2)" "hyaluronoglucosaminidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]" "scaffold_27" 3603787 3610736 1 "ENSGACG00000001294" 0.0196323915562544 2.99047622265205 0.0149707200208695 0.902617959615983 0.99957234361132 0.999832494075397
"ENSGACG00000001297" "scaffold_27-347" "scaffold_27" 3718529 3718745 4.47 1.13e-06 "cacna2d2" "calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:ZFIN;Acc:ZDB-GENE-050320-71]" "scaffold_27" 3746192 3752950 1 "ENSGACG00000001297" -0.0546128791190611 4.31669062527526 0.272714977995157 0.60151632944339 0.99957234361132 0.999832494075397
"ENSGACG00000001297" "scaffold_27-644" "scaffold_27" 3660198 3660414 5.19 4.65e-05 "cacna2d2" "calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:ZFIN;Acc:ZDB-GENE-050320-71]" "scaffold_27" 3746192 3752950 1 "ENSGACG00000001297" -0.0546128791190611 4.31669062527526 0.272714977995157 0.60151632944339 0.99957234361132 0.999832494075397
"ENSGACG00000001317" "scaffold_27-366" "scaffold_27" 3836854 3837058 4.7 5.99e-08 "SRGAP3 (2 of 2)" "SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:19744]" "scaffold_27" 3808660 3830750 -1 "ENSGACG00000001317" 0.111449324340432 6.80157524571564 1.28326729138326 0.257292420515951 0.99957234361132 0.793133498937546
"ENSGACG00000001336" "scaffold_27-366" "scaffold_27" 3836854 3837058 4.7 5.99e-08 "kcnb1" "potassium voltage-gated channel, Shab-related subfamily, member 1 [Source:ZFIN;Acc:ZDB-GENE-090831-3]" "scaffold_27" 3843351 3862320 1 "ENSGACG00000001336" -0.0529025713508482 4.17101559392336 0.297791804981554 0.585270083745293 0.99957234361132 0.998384711561731
"ENSGACG00000001355" "scaffold_239-5" "scaffold_239" 19545 19749 4.12 4.41e-07 "uckl1b" "uridine-cytidine kinase 1-like 1b [Source:ZFIN;Acc:ZDB-GENE-090311-45]" "scaffold_239" 10045 22130 -1 "ENSGACG00000001355" 0.0104549787414645 4.37616482382512 0.0123938950954496 0.911356354078717 0.99957234361132 0.999832494075397
"ENSGACG00000001366" "scaffold_239-9" "scaffold_239" 34218 34422 4.04 1.5e-07 "ZNF512B" "zinc finger protein 512B [Source:HGNC Symbol;Acc:HGNC:29212]" "scaffold_239" 26091 35017 -1 "ENSGACG00000001366" -0.0304974263122831 5.48291642040152 0.0872113961447525 0.767752680909222 0.99957234361132 0.999832494075397
"ENSGACG00000001405" "scaffold_219-9" "scaffold_219" 46936 47140 3.84 6.75e-10 "dlg1l" "discs, large (Drosophila) homolog 1, like [Source:ZFIN;Acc:ZDB-GENE-050222-3]" "scaffold_219" 2808 37376 -1 "ENSGACG00000001405" -0.00976246991341726 5.73769378197934 0.00782137299463415 0.92952814141126 0.99957234361132 0.999832494075397
